x,qx
22,0.000010
23,0.00118785
24,0.00186884
25,0.00238298
26,0.00272991
27,0.00222412
28,0.00222908
29,0.00171851
30,0.00086073
31,0.00206754
32,0.00120856
33,0.00224719
34,0.0017325
35,0.00242971
36,0.00347947
37,0.00314246
38,0.0028021
39,0.00368809
40,0.00282038
41,0.00477285
42,0.00479574
43,0.0044619
44,0.00412334
45,0.00594059
46,0.00525172
47,0.00345895
48,0.00474973
49,0.00605727
50,0.00738689
51,0.00725581
52,0.0088081
53,0.0100208
54,0.0091673
55,0.00944487
56,0.00953493
57,0.01689587
58,0.01199041
59,0.01375405
60,0.0147662
61,0.01873439
62,0.0193042
63,0.02163098
64,0.01901393
65,0.02343926
66,0.02630972
67,0.03081299
68,0.03105894
69,0.03735487
70,0.03723125
71,0.04357298
72,0.0464123
73,0.05464318
74,0.06411876
75,0.06243672
76,0.06731461
77,0.07487457
78,0.08302044
79,0.09281165
80,0.09428285
81,0.089701
82,0.11557178
83,0.12104539
84,0.14710485
85,0.16972477
86,0.15027624
87,0.18595579
88,0.22204473
89,0.23613963
90,0.22580645
91,0.26041667
92,0.26760563
93,0.32051282
94,0.25471698
95,0.30379747
96,0.41818182
97,0.28125
98,0.47826087
99,0.41666667
100,1